app_label,model_name,verbose_name_plural,field_name,verbose_name,field_type,null,blank,max_length,choices,related_model,related_name,relation_type,help_text
admin,LogEntry,Log Entries,,,,,,,,,,,
admin,LogEntry,Log Entries,action_time,Action Time,DateTimeField,False,False,,,,,,
admin,LogEntry,Log Entries,user,User,ForeignKey,False,False,,,User,,ForeignKey,
admin,LogEntry,Log Entries,content_type,Content Type,ForeignKey,True,True,,,ContentType,,ForeignKey,
admin,LogEntry,Log Entries,object_id,Object Id,TextField,True,True,,,,,,
admin,LogEntry,Log Entries,object_repr,Object Repr,CharField,False,False,200,,,,,
admin,LogEntry,Log Entries,action_flag,Action Flag,PositiveSmallIntegerField,False,False,,1: Addition | 2: Change | 3: Deletion,,,,
admin,LogEntry,Log Entries,change_message,Change Message,TextField,False,True,,,,,,
auth,Permission,Permissions,,,,,,,,,,,
auth,Permission,Permissions,name,Name,CharField,False,False,255,,,,,
auth,Permission,Permissions,content_type,Content Type,ForeignKey,False,False,,,ContentType,,ForeignKey,
auth,Permission,Permissions,codename,Codename,CharField,False,False,100,,,,,
auth,Group,Groups,,,,,,,,,,,
auth,Group,Groups,name,Name,CharField,False,False,150,,,,,
auth,Group,Groups,permissions,Permissions,ManyToManyField,False,True,,,Permission,,ManyToManyField,
auth,User,Users,,,,,,,,,,,
auth,User,Users,password,Password,CharField,False,False,128,,,,,
auth,User,Users,last_login,Last Login,DateTimeField,True,True,,,,,,
auth,User,Users,is_superuser,Superuser Status,BooleanField,False,False,,,,,,Designates that this user has all permissions without explicitly assigning them.
auth,User,Users,username,Username,CharField,False,False,150,,,,,"Required. 150 characters or fewer. Letters, digits and @/./+/-/_ only."
auth,User,Users,first_name,First Name,CharField,False,True,150,,,,,
auth,User,Users,last_name,Last Name,CharField,False,True,150,,,,,
auth,User,Users,email,Email Address,CharField,False,True,254,,,,,
auth,User,Users,is_staff,Staff Status,BooleanField,False,False,,,,,,Designates whether the user can log into this admin site.
auth,User,Users,is_active,Active,BooleanField,False,False,,,,,,Designates whether this user should be treated as active. Unselect this instead of deleting accounts.
auth,User,Users,date_joined,Date Joined,DateTimeField,False,False,,,,,,
